"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"978700663","60CA9A58784EDD6FF836E37C95AD14D1","David R","davidrT597NZ","https://www.tripadvisor.com/Profile/davidrT597NZ","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg","Westerly","No","5","","Great boutique hotel","Nicely appointed small hotel in the 7th arr. within easy walk of many major sites. Quiet street. Helpful staff. Continental breakfast was perfect with fresh baguette, croissant, pastries and coffee.","0","","NONE","2024-11-30","2024-11-04","2024-11-04","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r978700663-Hotel_De_Varenne-Paris_Ile_de_France.html"
"976547451","D943C2A26AAA35FAA6AB352E36ABA227","cmeyer960779","cmeyer960779","https://www.tripadvisor.com/Profile/cmeyer960779","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg","","No","5","","Home away from home","I very much enjoyed staying in your hotel, service was very good and personal and I will come back soon! ","0","","BUSINESS","2024-10-31","2024-10-25","2024-10-25","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r976547451-Hotel_De_Varenne-Paris_Ile_de_France.html"
"974784959","DBB2F1A3173B7C3212001B96FAE693E8","Vernon A","iJaxx","https://www.tripadvisor.com/Profile/iJaxx","https://media-cdn.tripadvisor.com/media/photo-f/01/2e/70/97/avatar023.jpg","Solihull","No","5","","Comfortable Stay","A very comfortable weekend stay with all staff helpful and attentive. Walking distance from the centre of Paris and creative restaurants ","0","","NONE","2024-10-31","2024-10-21","2024-10-21","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r974784959-Hotel_De_Varenne-Paris_Ile_de_France.html"
"974660857","B5B4F2CDC559EF681BB53CF6A38DAFFC","efiere","efiere","https://www.tripadvisor.com/Profile/efiere","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg","","No","5","","Exceptionnel","Everything was great. The welcome, friendly staff, comfort and cleanliness of the room. The setting and location of the Pension are also perfect.","0","","SOLO","2024-10-31","2024-10-20","2024-10-20","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r974660857-Hotel_De_Varenne-Paris_Ile_de_France.html"
"971707664","681F9038D39822B58D1632048FCA3BE9","Roger P","rploum","https://www.tripadvisor.com/Profile/rploum","https://media-cdn.tripadvisor.com/media/photo-m/1280/17/59/04/47/rploum.jpg","Irvine","No","3","","Meh","Hotel location in the 7th works well. Plenty of shops, cafes, and restaurants nearby though it doesn't feel as tourist-y as other parts of the city. 
Hotel itself is just ok. The lady working the desk in the afternoon was surly, giving us a hard time for wanting a 2nd key to our room. The rooms are small, the furniture is uncomfortable, and we have several plumbing issues in both rooms.","1","","FAMILY","2024-09-30","2024-09-28","2024-09-28","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r971707664-Hotel_De_Varenne-Paris_Ile_de_France.html"
"971456679","6FA274C6B73CEAB56F58D6ACAF107C28","Seaside582599","Seaside582599","https://www.tripadvisor.com/Profile/Seaside582599","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","","No","4","","Good but not Great","The Hotel is in a very good location and was very clean.  However, I could not control the a/c from my room and had to call the front desk anytime I wanted a change in temperature.  Also, housekeeping staff entered my room despite a ""Do not Disturb"" sign posted.","1","","NONE","2024-09-30","2024-09-26","2024-09-26","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r971456679-Hotel_De_Varenne-Paris_Ile_de_France.html"
"970286773","33D36F30AD1946BD9EBC1B0552F9EC6A","Jnrcort8389","Jnrcort8389","https://www.tripadvisor.com/Profile/Jnrcort8389","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg","Roseville","No","5","","Exploring Paris for the first time!","Fantastic trip to Paris and staying at the Hotel de Varenne was great.  Services provided by hotel staff were amazing.  Everyone was ever present to take care of us when needed.  We want to give a special recognition to Alicia (front desk staff) who went above and beyond in assisting us during our stay.  Merci beaucoup to the Hôtel de Varenne group!","0","","NONE","2024-09-30","2024-09-18","2024-09-18","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r970286773-Hotel_De_Varenne-Paris_Ile_de_France.html"
"969951451","43E6F3FE546674245333A44BDC0E3C72","stephanieeW1377MM","stephanieeW1377MM","https://www.tripadvisor.com/Profile/stephanieeW1377MM","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/81/default-avatar-2020-43.jpg","","No","5","Value: 5
Rooms: 5
Location: 5
Cleanliness: 5
Service: 5
Sleep Quality: 5","Love love love","The entire staff was lovely, especially Oliver! 

The hotel was clean and in a great location. The rooms did the job, and the cleaning team was fantastic. 

Near great restaurants and shopping! 

Thank you for making my first visit to Paris so lovely!","0","","FAMILY","2024-09-30","2024-09-16","2024-09-16","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r969951451-Hotel_De_Varenne-Paris_Ile_de_France.html"
"969883920","55CC4BC7E47CB9AD6CC61197FEC5C5C5","JerryGuir","JerryGuir","https://www.tripadvisor.com/Profile/JerryGuir","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/fe/default-avatar-2020-58.jpg","","No","5","","Excellent hotel with wonderful service.","My wife and I very much enjoyed our stay at the Hotel De Varenne.  After we left we realized that we had left some items in our room.  I called the hotel and they we very happy to help us locate the items and arrange to ship them to us.  Great customer service!  ","0","","NONE","2024-09-30","2024-09-15","2024-09-15","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r969883920-Hotel_De_Varenne-Paris_Ile_de_France.html"
"969811393","D06E6F1B8844846368511C20B4C2BE91","Yvette D","H4535XZyvetted","https://www.tripadvisor.com/Profile/H4535XZyvetted","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg","","No","5","Value: 5
Rooms: 5
Location: 4
Cleanliness: 5
Service: 5
Sleep Quality: 5","Great","Very comfortable clean and well presented rooms staff we very nice and very pleasant.  House Keeping staff do a great job.  Location was with walking distance to most attractions.  Supermarket is across the road which is very handy.  Close to some nice restaurants.","0","","FRIENDS","2024-09-30","2024-09-15","2024-09-15","en","Hotel De Varenne","282879","https://www.tripadvisor.com/ShowUserReviews-g187147-d282879-r969811393-Hotel_De_Varenne-Paris_Ile_de_France.html"
